STRINGCODE;CAS;KEGG;IAFMODEL;UMBBD;NAME
C(H)(C(C(H2C(HN(H2)C(O(H)O))))(N(C(H)(N(H)(){1}))))<1>;71-00-1;C00135;his-L;None;L-Histidine|(S)-alpha-Amino-1H-imidazole-4-propionicacid
(C(H2C(H2C(H3)))C(S(CoA)O));None;C00136;btcoa;None;Butanoyl-CoA
C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(){1})))))<1>;87-89-8;C00137;inost;None;myo-Inositol|D-myo-Inositol|1D-myo-Inositol|L-myo-Inositol|1L-myo-Inositol|meso-Inositol|Inositol|Dambose|Cyclohexitol|Meatsugar|BiosI
None;;C00138;None;None;C00138|Reduced ferredoxin|
None;;C00139;None;None;C00139|Oxidized ferredoxin|
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HN(HC(OC(H3))))(C(HO(H))(O(){1})))))<1>;7512-17-6;C00140;acmana;None;N-Acetyl-D-glucosamine|N-Acetylchitosamine|2-Acetamido-2-deoxy-D-glucose|GlcNAc
C(OC(O(H)O)C(HC(H3)C(H3)));None;C00141;3mob;None;3-Methyl-2-oxobutanoic acid|3-Methyl-2-oxobutyricacid|3-Methyl-2-oxobutanoate|2-Oxo-3-methylbutanoate|2-Oxoisovalerate|2-Oxoisopentanoate|alpha-Ketovaline|2-Ketovaline|2-Keto-3-methylbutyricacid
C(HC(H2O(H)))(C(HO(P(O(H)O(H)O)))(C(HO(H))(C(HR)(O(){1}))))<1>;None;C00142;None;None;3'-Phosphomononucleotide
C(H2)(C(H)(C(H2)(N(H)(C(C(C(O)(N(H)(C(N(H2))(N(){5})))N(C(H2)(N(C(C(H)(C(H)(C(C(ON(HC(HC(O(H)O)C(H2C(H2C(O(H)O)))))))(C(H)(C(H)(){10})))))<10>){1})){2}))<5>)))<2>)<1>;3432-99-3;C00143;mlthf;None;5,10-Methylenetetrahydrofolate|(6R)-5,10-Methylenetetrahydrofolate|5,10-Methylene-THF
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(N(H2))(N(H)(C(O)(){5})))){2})<5>)))<2>)<1>;85-32-5;C00144;gmp;None;GMP|Guanosine5'-phosphate|Guanosinemonophosphate|Guanosine5'-monophosphate|Guanylicacid
(RS(H));None;C00145;None;None;Thiol|Mercaptan
C(H)(C(H)(C(H)(C(O(H))(C(H)(C(H)(){1})))))<1>;108-95-2;C00146;None;None;Phenol|Benzenol|Hydroxybenzene|Phenicacid|Phenylicacid
C(H)(N(H)(C(C(C(N(H2))(N(C(H)(N(){3})))N(){1}))<3>))<1>;73-24-5;C00147;ade;None;Adenine|6-Aminopurine
C(H2)(C(H2)(C(HC(O(H)O))(N(H)(C(H2)(){1}))))<1>;147-85-3;C00148;pro-L;None;L-Proline|2-Pyrrolidinecarboxylicacid
(C(H2C(O(H)O))C(HO(H)C(O(H)O)));97-67-6;C00149;mal-L;None;(S)-Malate|L-Malate|L-Appleacid|L-Malicacid|L-2-Hydroxybutanedioicacid
Mo;7439-98-7;C00150;None;None;Molybdenum
(C(HRN(H2))C(O(H)O));None;C00151;None;None;L-Amino acid|L-2-Aminoacid
(C(H2C(ON(H2)))C(HN(H2)C(O(H)O)));70-47-3;C00152;asn-L;None;L-Asparagine|2-Aminosuccinamicacid
C(H)(C(H)(C(C(ON(H2)))(C(H)(N(C(H)(){1})))))<1>;98-92-0;C00153;ncam;None;Nicotinamide|Nicotinicacid amide|Niacinamide|VitaminPP
(C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3)))))))))C(H2C(H2C(H2C(H2C(H2C(H2C(S(CoA)O))))))));None;C00154;pmtcoa;None;Palmitoyl-CoA|Hexadecanoyl-CoA
(C(H2C(H2S(H)))C(HN(H2)C(O(H)O)));6027-13-0;C00155;hcys-L;None;L-Homocysteine|L-2-Amino-4-mercaptobutyricacid
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(O(H)O))(){1})))))<1>;99-96-7;C00156;4hbz;None;4-Hydroxybenzoate|Hydroxybenzoicacid|4-Hydroxybenzoicacid|Hydroxybenzenecarboxylicacid
O(P(O(H)O(C(H2C(H2N[+1](C(H3)C(H3)C(H3)))))O)C(H2C(HO(C(RO))C(H2O(C(RO))))));8002-43-5;C00157;None;None;Phosphatidylcholine|Lecithin|Phosphatidyl-N-trimethylethanolamine|1,2-Diacyl-sn-glycero-3-phosphocholine|Cholinephosphatide
C(O(H)C(O(H)O)C(H2C(O(H)O))C(H2C(O(H)O)));77-92-9;C00158;cit;None;Citrate|Citricacid|2-Hydroxy-1,2,3-propanetricarboxylicacid|2-Hydroxytricarballylicacid
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;3458-28-4;C00159;None;None;D-Mannose|Mannose|Seminose|Carubinose
(C(H2O(H))C(O(H)O));79-14-1;C00160;glyclt;None;Glycolate|Glycolicacid|Hydroxyaceticacid
(C(O(H)O)C(RO));None;C00161;None;None;2-Oxo acid
C(RO(H)O);None;C00162;None;None;Fatty acid
(C(H2C(H3))C(O(H)O));79-09-4;C00163;ppa;None;Propanoate|Propionate|Propanoicacid|Propionicacid
C(H2C(OC(H3))C(O(H)O));541-50-4;C00164;acac;None;Acetoacetate|3-Oxobutanoicacid|beta-Ketobutyricacid|Acetoaceticacid
(C(H2O(C(RO)))C(HO(C(RO))C(H2O(H))));None;C00165;None;None;Diacylglycerol|Diglyceride
C(H)(C(H)(C(H)(C(C(H2C(OC(O(H)O))))(C(H)(C(H)(){1})))))<1>;156-06-9;C00166;phpyr;None;Phenylpyruvate|Phenylpyruvicacid|alpha-Ketohydrocinnamicacid|keto-Phenylpyruvate|3-Phenyl-2-oxopropanoate
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(O(H)O))(O(){7})))))<7>))))));None;C00167;udpglcur;None;UDPglucuronate|UDP-D-glucuronate|UDP-glucuronate
C(OC(O(H)O)C(H2O(H)));1113-60-6;C00168;hpyr;None;Hydroxypyruvate|Hydroxypyruvicacid|3-Hydroxypyruvate|3-Hydroxypyruvicacid
O(P(O(H)O(H)O)C(ON(H2)));None;C00169;cbp;None;Carbamoyl phosphate
C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H3))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;2457-80-9;C00170;5mta;None;5'-Methylthioadenosine|Methylthioadenosine|S-Methyl-5'-thioadenosine|5-Methylthioadenosine|5'-Deoxy-5'-(methylthio)adenosine|Thiomethyladenosine|MTA
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HO(H))(C(HR)(O(){1}))))<1>;None;C00171;None;None;5'-Phosphomononucleotide
C(H2)(C(H)(C(H)(C(HO(H))(C(HR)(O(){2}))O(P(O(H)O)(O(C(H2)(C(H)(C(HO(P(O(H)O(H)O)))(C(HO(H))(C(HR)(O(){8}))))<8>))))))<2>O(P(O(H)O)(O(C(H)(C(HC(H2O(P(O(H)O(H)O))))(O(C(HR)(C(HO(H))(){5}))))<5>))));None;C00172;None;None;3'-Phosphooligonucleotide
(C(H2C(H2R))C(S(R)O));None;C00173;None;None;Acyl-[acyl-carrier protein]|Long-chain-acyl-[acyl-carrierprotein]
None;;C00174;None;None;C00174|Acid|
Co[+2];7440-48-4;C00175;cobalt2;None;Cobalt|Co2+|cobalt2
C(H)(C(C(C(H)(C(C(H3))(C(C(H3))(){1}))N(C(C(N(R)(){2}N(C(O)(N(H)(C(O)(){5})))))<5>)))<2>)<1>;None;C00176;None;None;Flavin
(C(H)N);57-12-5;C00177;cyan;None;Cyanide|Prussiate|CN-|Cyano
C(H)(C(C(H3))(C(O)(N(H)(C(O)(N(H)(){1})))))<1>;65-71-4;C00178;thym;None;Thymine
(C(H2C(H2C(H2N(H2))))C(H2N(HC(N(H2)N(H)))));306-60-5;C00179;agm;None;Agmatine|(4-Aminobutyl)guanidine
C(H)(C(H)(C(H)(C(C(O(H)O))(C(H)(C(H)(){1})))))<1>;65-85-0;C00180;None;None;Benzoate|Benzoicacid|Benzenecarboxylicacid|Phenylformicacid|Dracylicacid
C(H2)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;58-86-6;C00181;xyl-D;None;D-Xylose|Woodsugar
C(H2)(C(H)(C(H)(C(HO(H))(C(HO(H))(C(H)(O(C(H)(C(HC(H2O(H)))(O(C(HO(H))(C(HO(H))(C(HO(H))(){8})))))<8>)O(){2})))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){5})))))<5>)))<2>O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>));9005-79-2;C00182;bglycogen;None;Glycogen
C(HN(H2)C(O(H)O)C(HC(H3)C(H3)));72-18-4;C00183;val-L;None;L-Valine|2-Amino-3-methylbutyricacid
C(OC(H2O(H))C(H2O(H)));96-26-4;C00184;dha;None;Glycerone|Dihydroxyacetone|1,3-Dihydroxyacetone|1,3-Dihydroxy-2-propanone|1,3-Dihydroxypropan-2-one
C(H)(C(HC(H2O(H)))(O(C(HO(H))(C(HO(H))(C(HO(H))(){1}))))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>))<1>;None;C00185;malt;None;Cellobiose|1-beta-D-Glucopyranosyl-4-D-glucopyranose
(C(HO(H)C(H3))C(O(H)O));79-33-4;C00186;lac-L;None;(S)-Lactate|L-Lactate|L-Lacticacid
C(H2)(C(H2)(C(HC(HC(H3)C(H2C(H2C(H2C(HC(H3)C(H3)))))))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H)(C(C(H2)(C(HO(H))(C(H2)(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;57-88-5;C00187;None;None;Cholesterol|Cholest-5-en-3beta-ol
C(HN(H2)C(O(H)O)C(HO(H)C(H3)));72-19-5;C00188;thr-L;None;L-Threonine|2-Amino-3-hydroxybutyricacid
(C(H2N(H2))C(H2O(H)));141-43-5;C00189;etha;None;Ethanolamine|Aminoethanol|2-Hydroxyethylamine
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(H2)(O(){7})))))<7>))))));None;C00190;None;None;UDP-D-xylose|UDPxylose|UDP-alpha-D-xylose
C(HC(O(H)O))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;1700908;C00191;glcur;None;D-Glucuronate|Glucuronicacid|Glucuronate
(N(H2)O(H));7803-49-8;C00192;None;None;Hydroxylamine
C(H)(C(H)(C(H)(C(C(HO))(C(H)(C(H)(){1})))))<1>;100-52-7,100-52-7;C00193;None;None;Benzaldehyde|Benzoicaldehyde|CM0279|Benzaldehyde|
###############################################################################################################################################################################################################################################################;13870-90-1;C00194;None;None;Cobamide coenzyme|Adenosylcobalamin|Deoxyadenosylcobalamin|Cobamamide|VitaminB12 coenzyme|5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide|(5'-Deoxy-5'-adenosyl)cobamidecoenzyme|(5,6-Dimethylbenzimidazolyl)cobamidecoenzyme|alpha-(5,6-Dimethylbenzimidazolyl)cobamidecoenzyme|5'-Deoxy-5'-adenosylcobalamin|5'-Deoxy-5'-adenosylvitamin B12|5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide|5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide|Calomide|CobalamincoenzymeCoenzymeB12|DMBCcoenzyme|Dibencozide|Funacomide
(C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))C(H2C(H2C(H2C(HC(HC(HO(H)C(HN(HC(RO))C(H2O(H))))))))));None;C00195;None;None;N-Acylsphingosine|Ceramide
C(H)(C(H)(C(C(O(H)O))(C(O(H))(C(O(H))(C(H)(){1})))))<1>;303-38-8;C00196;23dhb;None;2,3-Dihydroxybenzoate|2,3-Dihydroxybenzoicacid
C(H2O(P(O(H)O(H)O))C(HO(H)C(O(H)O)));None;C00197;3pg;None;3-Phospho-D-glycerate|D-Glycerate3-phosphate
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(O)(O(){1})))))<1>;90-80-2;C00198;None;None;D-Glucono-1,5-lactone|Gluconiclactone|Gluconicacid lactone|1,5-Gluconolactone|delta-Gluconolactone|D-Gluconolactone|Glucarolactone|D-Aldonolactone|D-threo-Aldono-1,5-lactone
C(HO(H)C(HO(H)C(OC(H2O(H))))C(H2O(P(O(H)O(H)O))));4151-19-3;C00199;xu5p-L;None;D-Ribulose 5-phosphate
C(H)(C(H)(C(H)(C(C(C(H)(){1}N[+1](C(H3))(C(C(H)(C(H)(C(H)(C(H)(C(N(){4}){7})))))<7>)))<4>)))<1>;299-11-6;C00200;None;None;Phenazine methosulfate|N-Methylphenazoniummethosulfate|5-Methylphenaziniummethyl sulphate
C(HC(H2O(P(O(P(O(P(O(H)O(H)O))O(H)O))O(H)O))))(C(HO(H))(C(HO(H))(C(HR)(O(){1}))))<1>;None;C00201;None;None;Nucleoside triphosphate
P(O(C(HC(H3)C(H3)))O(C(HC(H3)C(H3)))OF);55-91-4;C00202;None;None;Isoflurophate|Diisopropylfluorophosphate
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))));None;C00203;None;None;UDP-N-acetyl-D-galactosamine
(C(H2C(OC(O(H)O)))C(HO(H)C(HO(H)C(H2O(H)))));None;C00204;2dh3dgal;None;2-Dehydro-3-deoxy-D-gluconate
None;;C00205;None;None;C00205|hn|Light|
C(H2)(C(H)(N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){6})))){3})<6>)))<3>O(C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(C(HO(H))(){1}))))<1>;None;C00206;dadp;None;dADP|2'-Deoxyadenosine5'-diphosphate
C(OC(H3)C(H3));67-64-1;C00207;None;None;Acetone|Dimethylketone|2-Propanone
C(H)(C(HC(H2O(H)))(O(C(HO(H))(C(HO(H))(C(HO(H))(){1}))))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>))<1>;69-79-4;C00208;None;None;Maltose|Maltsugar|1-alpha-D-Glucopyranosyl-4-alpha-D-glucopyranose
(C(O(H)O)C(O(H)O));144-62-7;C00209;None;None;Oxalate|Oxalicacid|Ethanedioicacid
###############################################################################################################################################################################################################################################################;14709-02-5;C00210;None;None;Cobamide
C(H2)(C(H2)(C(HC(ON(HC(HRC(O(H)O)))))(N(C(OC(HRN(HC(OC(HRN(H2)))))))(C(H2)(){1}))))<1>;9064-67-9;C00211;None;None;Collagen
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;58-61-7;C00212;adn;None;Adenosine
C(H2N(HC(H3))C(O(H)O));107-97-1;C00213;sarcs;None;Sarcosine|N-Methylglycine
C(H2)(C(H)(N(C(H)(C(C(H3))(C(O)(N(H)(C(O)(){3})))))<3>O(C(HC(H2O(H)))(C(HO(H))(){1}))))<1>;50-89-5;C00214;thymd;None;Thymidine|Deoxythymidine
None;;C00215;None;None;C00215|Nucleotide|
C(H2)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;10323-20-3;C00216;None;None;D-Arabinose
C(H2C(HN(H2)C(O(H)O))C(H2C(O(H)O)));6893-26-1;C00217;None;None;D-Glutamate|D-Glutamicacid|D-Glutaminicacid|D-2-Aminoglutaricacid
(C(H3)N(H2));74-89-5;C00218;None;None;Methylamine|Methanamine
C(H2C(HC(HC(H2C(HC(HC(H2C(H2C(H2C(O(H)O)))))))))C(HC(HC(H2C(HC(HC(H2C(H2C(H2C(H2C(H3)))))))))));506-32-1;C00219;None;None;(5Z,8Z,11Z,14Z)-Icosatetraenoic acid|Arachidonate|Arachidonicacid|cis-5,8,11,14-Eicosatetraenoicacid
C(H)(C(H)(C(N(C(H3)C(H3)))(C(H)(C(C(N(C(C(H)(C(H)(C(N(C(H3)C(H3)))(C(H)(C(S[+1](){5}){8})))))<8>)){1})<5>))))<1>;61-73-4;C00220;None;None;Methylene blue
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;50-99-7;C00221;None;None;beta-D-Glucose
C(H2C(O(H)O)C(HO));None;C00222;None;None;3-Oxopropanoate|Malonatesemialdehyde
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(HC(HC(S(CoA)O))))(){1})))))<1>;None;C00223;None;None;4-Coumaroyl-CoA|4-Hydroxycinnamoyl-CoA
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(S(O(H)OO))O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;None;C00224;aps;None;Adenylylsulfate|Adenosine5'-phosphosulfate|APS
C(H)(C(H)(N[+1](C(H3))(C(H)(C(H)(C(C(C(H)(C(H)(N[+1](C(H3))(C(H)(C(H)(){7})))))<7>){1})))))<1>;1910-42-5;C00225;None;None;Methyl viologen|Paraquatdichloride|1,1'-Dimethyl-4,4'-bipyridiniumdichloride
C(H2RO(H));None;C00226;None;None;Primary alcohol|1-Alcohol
O(P(O(H)O(H)O)C(OC(H3)));None;C00227;actp;None;Acetyl phosphate
(RS(H));None;C00229;None;None;Acyl-carrier protein|ACP|[Acyl-carrierprotein]|Holo-[acyl-carrierprotein]
C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(O(H)O))(){1})))))<1>;99-50-3;C00230;None;None;3,4-Dihydroxybenzoate|3,4-Dihydroxybenzoicacid|Protocatechuate|Protocatechuicacid
C(HO(H)C(HO(H)C(OC(H2O(H))))C(H2O(P(O(H)O(H)O))));None;C00231;None;None;D-Xylulose 5-phosphate
(C(H2C(HO))C(H2C(O(H)O)));692-29-5;C00232;sucsal;None;Succinate semialdehyde|Succinicsemialdehyde
(C(H2C(HC(H3)C(H3)))C(OC(O(H)O)));None;C00233;4mop;None;4-Methyl-2-oxopentanoate|2-Oxoisocaproate
C(H2)(C(H)(C(H2)(N(H)(C(C(C(O)(N(H)(C(N(H2))(N(){5})))N(H)(){2}))<5>)))<2>N(C(HO))(C(C(H)(C(H)(C(C(ON(HC(HC(O(H)O)C(H2C(H2C(O(H)O)))))))(C(H)(C(H)(){3})))))<3>));None;C00234;10fthf;None;10-Formyltetrahydrofolate|10-Formyl-THF
O(P(O(P(O(H)O(H)O))O(H)O)C(H2C(HC(C(H3)C(H3)))));358-72-5;C00235;dmpp;None;Dimethylallyl diphosphate|Prenyldiphosphate|2-Isopentenyldiphosphate|delta2-Isopentenyldiphosphate|delta-Prenyldiphosphate
C(HO(H)C(O(P(O(H)O(H)O))O)C(H2O(P(O(H)O(H)O))));38168-82-0;C00236;13dpg;None;3-Phospho-D-glyceroyl phosphate|1,3-Bisphospho-D-glycerate|(R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydridewith phosphoric
(C(H)O[+1]);None;C00237;None;None;CO|Carbonmonoxide
K[+1];2023695;C00238;k;None;Potassium|K+
C(H2)(C(H)(N(C(H)(C(H)(C(N(H2))(N(C(O)(){3})))))<3>O(C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(){1}))))<1>;1032-65-1;C00239;dcmp;None;dCMP|Deoxycytidylicacid|Deoxycytidinemonophosphate|Deoxycytidylate|2'-Deoxycytidine5'-monophosphate
C(H2)(C(H)(C(H)(C(HO(H))(C(HR)(O(){2}))O(P(O(H)O)(O(C(H2)(C(H)(C(HO(H))(C(HO(H))(C(HR)(O(){8}))))<8>))))))<2>O(P(O(H)O)(O(C(H)(C(HC(H2O(H)))(O(C(HR)(C(HO(H))(){5}))))<5>))));None;C00240;None;None;rRNA|RibosomalRNA
C(RON(H2));None;C00241;None;None;Amide
C(H)(N(H)(C(C(C(O)(N(H)(C(N(H2))(N(){3})))N(){1}))<3>))<1>;73-40-5;C00242;gua;None;Guanine|2-Amino-6-hydroxypurine
C(H)(C(HC(H2O(H)))(O(C(HO(H))(C(HO(H))(C(HO(H))(){1}))))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>))<1>;63-42-3;C00243;None;None;Lactose|1-beta-D-Galactopyranosyl-4-alpha-D-glucopyranose|Milksugar|alpha-Lactose|Anhydrouslactose
N(O(H)OO);7697-37-2;C00244;no3;None;Nitrate|Nitricacid
C(H2S(O(H)OO)C(H2N(H2)));107-35-7;C00245;taur;None;Taurine|2-Aminoethanesulfonicacid|Aminoethylsulfonicacid
C(H2C(O(H)O)C(H2C(H3)));107-92-6;C00246;but;None;Butanoic acid|Butanoate|Butyrate|Butyricacid
C(H2)(C(HO(H))(C(HO(H))(C(HO(H))(C(O(H)C(H2O(H)))(O(){1})))))<1>;87-79-6;C00247;None;None;L-Sorbose|L-xylo-Hexulose
C(H2)(C(H2)(S(S(C(HC(H2C(H2C(H2C(H2C(ON(H2)))))))(){1}))))<1>;940-69-2;C00248;None;None;Lipoamide|Thiocticacid amide
C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(O(H)O)))))))C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3)))))))));57-10-3;C00249;hdca;None;Hexadecanoic acid|Hexadecanoate|Hexadecylicacid|Palmiticacid|Palmitate|Cetylicacid
C(H)(C(C(H2O(H)))(C(C(HO))(C(O(H))(C(C(H3))(N(){1})))))<1>;66-72-8;C00250;pydx;None;Pyridoxal
C(HO(C(C(O(H)O)C(H2))))(C(HO(H))(C(H)(C(H)(C(C(O(H)O))(C(H)(){1})))))<1>;55508-12-8;C00251;chor;None;Chorismate|Chorismicacid
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){2})))))<2>O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>));499-40-1;C00252;melib;None;Isomaltose|Brachiose
C(H)(C(H)(C(C(O(H)O))(C(H)(N(C(H)(){1})))))<1>;59-67-6;C00253;nac;None;Nicotinate|Nicotinicacid|Niacin|3-Pyridinecarboxylicacid
C(HO(H))(C(H)(C(H)(C(C(O(H)O)C(H2C(OC(O(H)O))))(C(H)(C(H)(){1})))))<1>;126-49-8;C00254;pphn;None;Prephenate|Prephenicacid
C(H)(C(C(C(H)(C(C(H3))(C(C(H3))(){1}))N(C(C(N(C(H2C(HO(H)C(HO(H)C(HO(H)C(H2O(H)))))))(){2}N(C(O)(N(H)(C(O)(){5})))))<5>)))<2>)<1>;83-88-5;C00255;ribflv;None;Riboflavin|Lactoflavin|7,8-Dimethyl-10-ribitylisoalloxazine|VitaminB2
(C(HO(H)C(H3))C(O(H)O));10326-41-7;C00256;None;None;(R)-Lactate|D-Lactate|D-Lacticacid|D-2-Hydroxypropanoicacid|D-2-Hydroxypropionicacid
(C(HO(H)C(HO(H)C(H2O(H))))C(HO(H)C(HO(H)C(O(H)O))));526-95-4;C00257;mana;None;D-Gluconic acid|D-Gluconate|D-gluco-Hexonicacid
C(HO(H)C(O(H)O)C(H2O(H)));473-81-4;C00258;glyc-R;None;D-Glycerate|Glycerate|(R)-Glycerate|Glycericacid
C(H2)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;147-81-9;C00259;None;None;L-Arabinose|L-Arabinopyranose
C(H)(C(H)(C(H)(C(C(HO))(C(H)(C(H)(){1})))))<1>;100-52-7;C00261;None;None;Benzaldehyde|Benzoicaldehyde
C(H)(N(H)(C(C(C(O)(N(H)(C(H)(N(){3})))N(){1}))<3>))<1>;68-94-0;C00262;hxan;None;Hypoxanthine|Purine-6-ol
(C(H2C(H2O(H)))C(HN(H2)C(O(H)O)));672-15-1;C00263;hom-L;None;L-Homoserine|2-Amino-4-hydroxybutyricacid
(C(H2C(RO))C(S(CoA)O));None;C00264;None;None;3-Oxoacyl-CoA
(C(HO(H)C(H2S(H)))C(HO(H)C(H2S(H))));578517;C00265;None;None;Dithiothreitol|1,4-Dithiothreitol|threo-1,4-Dimercapto-2,3-butanediol
(C(H2O(H))C(HO));141-46-8;C00266;gcald;None;Glycolaldehyde|Hydroxyacetaldehyde
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;50-99-7;C00267;None;None;alpha-D-Glucose
C(H2)(C(HC(HO(H)C(HO(H)C(H3))))(N(C(C(N(H)(){1}N(C(N(H2))(N(C(O)(){4})))))<4>)))<1>;None;C00268;None;None;Dihydrobiopterin|6,7-Dihydrobiopterin|Quinoid-dihydrobiopterin
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(H)O(C(H2C(HO(C(RO))C(H2O(C(RO))))))O))O(H)O))))(O(){1})))N(C(H)(C(H)(C(N(H2))(N(C(O)(){2})))))<2>)<1>;None;C00269;None;None;CDPdiacylglycerol|CDP-1,2-diacylglycerol|1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate
C(H2)(C(HO(H))(C(HN(HC(OC(H3))))(C(HC(HO(H)C(HO(H)C(H2O(H)))))(O(C(O(H)C(O(H)O))(){1})))))<1>;131-48-6;C00270;acnam;None;N-Acetylneuraminate|N-Acetylneuraminicacid|5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonicacid|Neu5Ac
C(H2)(C(H)(C(H)(C(H2)(C(HR)(O(){2}))O(P(O(H)O)(O(C(H2)(C(H)(C(HO(P(O(H)O(H)O)))(C(H2)(C(HR)(O(){8}))))<8>))))))<2>O(P(O(H)O)(O(C(H)(C(H2)(C(HR)(O(C(HC(H2O(P(O(H)O(H)O))))(){5}))))<5>))));None;C00271;None;None;Single-stranded DNA
C(H2)(C(HC(HO(H)C(HO(H)C(H3))))(N(H)(C(C(N(H)(){1}N(C(N(H2))(N(H)(C(O)(){4})))))<4>)))<1>;17528-72-2;C00272;None;None;Tetrahydrobiopterin|5,6,7,8-Tetrahydrobiopterin|2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-
(C(HO(H)C(OC(H2O(H))))C(HO(H)C(OC(H2O(H)))));None;C00273;None;None;5-Dehydro-D-fructose
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;None;C00275;None;None;D-Mannose 6-phosphate
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(*))(O(){1})))))<1>;None;C00277;None;None;(1,4-alpha-D-Glucosyl)n|(1,4-alpha-D-Glucosyl)n+1|(1,4-alpha-D-Glucosyl)n-1|-4|(1,4)-alpha-D-Glucosyl|(n-1)-D-glucose|1,4-alpha-D-Glucan
